epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.864,1.34247,2.33441,1.46001,0.79843,0.74329,0.84221,0.52438,1.21191,1.43168,1.37245,0.000471372,0.000471372,0.000471372
2,665.496,1.25867,1.27807,1.41889,0.77179,0.86122,0.87615,0.55145,1.18626,1.09123,1.28007,0.000853882,0.000853882,0.000853882
3,997.456,1.21938,1.14197,1.34075,0.78822,0.8846,0.86671,0.5614,1.15261,0.99013,1.24186,0.00114208,0.00114208,0.00114208
4,1328,1.1974,1.05893,1.3028,0.81372,0.94777,0.90971,0.60426,1.12392,0.92257,1.18988,0.00100459,0.00100459,0.00100459
5,1667.99,1.17807,1.01291,1.27806,0.83499,0.87922,0.9055,0.6159,1.08535,0.88663,1.18663,0.000863116,0.000863116,0.000863116
6,2000.58,1.16823,0.98114,1.27648,0.84707,0.90045,0.90791,0.62265,1.04784,0.86464,1.18709,0.000721645,0.000721645,0.000721645
7,2309.85,1.13887,0.92576,1.25325,0.83889,0.92579,0.90551,0.61211,1.04805,0.81105,1.16052,0.000580174,0.000580174,0.000580174
8,2629.53,1.12354,0.90021,1.23462,0.82495,0.93959,0.90052,0.61155,1.07115,0.8576,1.17926,0.000438703,0.000438703,0.000438703
9,3016.33,1.11451,0.87629,1.22911,0.83759,0.90892,0.90044,0.6233,1.04036,0.79349,1.15504,0.000297232,0.000297232,0.000297232
10,3336.99,1.09373,0.8551,1.21853,0.85194,0.92148,0.91304,0.64026,1.01988,0.78574,1.14259,0.000155761,0.000155761,0.000155761
